PM10,NO,NO2,O3,PM25
2.319,0.51385,2.17418,56.47831,1.0
3.285,0.28904,3.15014,59.37208,2.0
5.217,0.77077,5.13078,59.92089,4.0
8.116,0.99557,4.34905,63.66283,3.0
4.251,1.02769,8.18448,62.36563,-1.0
2.319,2.66557,10.67462,55.33078,3.0
3.285,5.71652,15.90249,49.04433,0.0
0.386,2.44076,7.71735,62.01638,2.0
0.386,2.92249,8.28979,62.71487,4.0
2.319,3.46845,9.29788,64.46111,3.0
9.082,2.98672,9.16247,64.91014,3.0
8.116,3.5648,9.53862,62.91444,2.0
8.116,2.69769,13.10186,58.97294,1.0
4.251,3.9823,18.61016,48.74497,3.0
2.319,4.97787,18.92885,45.50196,3.0
4.251,2.85826,13.68114,46.49981,1.0
3.285,3.08307,12.65663,46.99874,1.0
6.184,1.73423,8.65501,50.19186,3.0
4.251,2.56922,9.89974,47.8968,2.0
2.319,2.15173,8.88891,47.74712,-2.0
4.251,0.835,4.98373,51.73852,-1.0
9.082,0.55749,3.80511,51.55558,10.0
6.184,1.37228,4.04437,51.48906,3.0
9.082,0.38595,3.3562,51.08992,2.0
6.184,0.57893,2.41309,49.19401,0.0
7.15,0.57893,2.31601,48.44562,3.0
4.251,0.61109,2.16962,49.04433,5.0
6.184,1.51165,4.72058,47.44777,3.0
7.15,1.25435,5.50343,46.35013,2.0
21.643,1.86544,5.77996,46.69938,4.0
10.048,3.21628,9.09673,46.69938,9.0
11.015,2.73384,7.60359,50.69078,5.0
1.353,1.96193,8.30175,52.5368,3.0
8.116,2.44437,14.01794,45.95099,3.0
4.251,4.18116,23.10177,37.21981,5.0
3.285,2.63735,17.16845,44.05508,4.0
6.184,2.79816,14.20359,51.08992,1.0
2.319,1.89761,9.80807,51.8882,1.0
4.251,1.92977,10.63249,53.58455,0.0
6.184,0.93272,6.82178,60.5196,1.0
9.082,1.02921,6.33405,63.71272,9.0
9.082,0.83623,5.90183,63.71272,7.0
11.981,0.90056,5.46342,64.06197,7.0
11.015,0.54677,4.3555,64.76047,7.0
9.082,0.51461,3.62816,62.66498,4.0
27.44,0.55831,1.86123,63.06412,17.0
12.947,0.25768,1.41642,62.59846,11.0
12.947,0.45094,1.63767,62.61509,8.0
13.913,0.3221,1.1559,62.46541,7.0
